policy,N,lambda,rho,W,imbalance,pkts,sim_T,L0,L1,L2,L3
Random,4,1,0.25,1.2919,0.039847,5761,6000.49,0.294772,0.303449,0.334619,0.307234
Random,4,2,0.5,2.12641,0.221995,11777,6000.35,1.15105,0.929057,1.00286,1.09153
Random,4,2.5,0.625,2.6553,0.372098,14760,6000.67,1.8293,1.68685,1.55926,1.4572
Random,4,3,0.75,3.97297,0.3425,35548,12000.1,2.75115,3.09366,2.99959,2.92418
Random,4,3.2,0.8,4.65254,0.790763,38246,12001.1,4.23958,3.64215,3.4944,3.44882
Random,4,3.5,0.875,8.16664,1.12318,41778,12000,7.30621,7.57806,6.45487,7.11159
Random,4,3.8,0.95,21.8028,8.6284,75945,20000.4,24.3265,24.339,18.2353,15.7106
Round-robin,4,1,0.25,1.08195,0.010448,6040,6000.04,0.269821,0.277613,0.274553,0.267166
Round-robin,4,2,0.5,1.52196,0.041616,11990,6000.59,0.777277,0.735661,0.771772,0.756667
Round-robin,4,2.5,0.625,1.84477,0.095068,14752,6000.34,1.13666,1.16862,1.07355,1.15661
Round-robin,4,3,0.75,2.62173,0.181123,35792,12000.4,2.02818,1.91922,2.02427,1.84705
Round-robin,4,3.2,0.8,3.12129,0.201607,38112,12000.1,2.37611,2.56738,2.57772,2.39158
Round-robin,4,3.5,0.875,5.25166,1.07134,41727,12000.2,4.13804,5.20937,4.24444,4.67854
Round-robin,4,3.8,0.95,13.7064,6.15515,75734,20000,11.6449,14.3101,9.89322,16.0484
JSQ,4,1,0.25,1.00342,0.019729,5785,6000.02,0.249553,0.229823,0.247179,0.241106
JSQ,4,2,0.5,1.19366,0.039259,11701,6000.19,0.584418,0.579591,0.601036,0.561777
JSQ,4,2.5,0.625,1.30591,0.008796,14654,6000.01,0.795117,0.801188,0.80169,0.792894
JSQ,4,3,0.75,1.69724,0.01491,35840,12000.9,1.27109,1.27577,1.26086,1.26105
JSQ,4,3.2,0.8,1.91117,0.013896,38270,12000,1.52298,1.53117,1.51727,1.52437
JSQ,4,3.5,0.875,2.72028,0.016499,41860,12000.1,2.37676,2.36472,2.38122,2.36885
JSQ,4,3.8,0.95,5.01447,0.009371,75815,20000,4.75457,4.75794,4.74857,4.75059
